row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,discount_bucket,profit,cost_price,profit_margin
13,,04-01-2014,9-14-2014,Standard Class,KH-16330,Katharine Harms,Corporate,United States,Revere,Massachusetts,2151,East,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,6.24,2,0,Low(0-10%),3.06,3.18,0.49
14,CA-2017-167668,04-01-2014,10-13-2014,Second Class,KM-16720,Kunst Miller,Consumer,United States,Vallejo,California,94591,West,OFF-LA-10002312,Office Supplies,Labels,Avery 490,29.6,2,0,Low(0-10%),14.8,14.8,0.5
15,CA-2017-146724,04-01-2014,12-13-2014,Second Class,KM-16720,Kunst Miller,Consumer,United States,Vallejo,California,94591,West,OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",17.09,4,20,Medium(11-20),5.55,11.53,0.325
16,US-2016-156097,06-01-2014,12-13-2014,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East,OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.48,3,0,Low(0-10%),20.92,24.56,0.46
17,CA-2015-146563,06-01-2014,4-15-2014,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2,6,0,Low(0-10%),83.87,205.33,0.29
18,CA-2015-102848,06-01-2014,4-15-2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0,Low(0-10%),580.54,1421.32,0.29
19,US-2017-129441,06-01-2014,4-13-2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,2,0,Low(0-10%),41.68,125.04,0.25
20,CA-2016-168753,06-01-2014,6-14-2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,6,0,Low(0-10%),23.94,23.94,0.5
21,CA-2016-126613,06-01-2014,6-13-2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5,0,Low(0-10%),496.07,1007.18,0.33
22,US-2017-122637,06-01-2014,6-13-2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,25.92,4,0,Low(0-10%),12.44,13.48,0.48
23,CA-2017-147725,06-01-2014,8-15-2014,Standard Class,LT-17110,Liz Thompson,Consumer,United States,Little Rock,Arkansas,72209,South,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,22.2,6,0,Low(0-10%),9.1,13.1,0.41
24,CA-2016-168893,06-01-2014,8-15-2014,Standard Class,LT-17110,Liz Thompson,Consumer,United States,Little Rock,Arkansas,72209,South,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,881.93,7,0,Low(0-10%),229.3,652.63,0.26
25,,06-01-2014,8-15-2014,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Detroit,Michigan,48234,Central,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,138.56,4,0,Low(0-10%),66.51,72.05,0.48
26,,06-01-2014,8-15-2014,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Detroit,Michigan,48234,Central,OFF-AP-10004859,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,65.52,5,10,Low(0-10%),12.38,53.14,0.188888889
27,CA-2014-123925,07-01-2014,8-14-2014,Second Class,Dl-13600,Dorris liebe,Corporate,United States,Seattle,Washington,98105,West,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets,19.92,5,20,Medium(11-20),6.97,12.95,0.35
28,CA-2016-138079,07-01-2014,8-14-2014,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725,South,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,575.92,2,20,Medium(11-20),71.99,503.93,0.125
29,CA-2014-143182,07-01-2014,9-14-2014,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725,South,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,5.18,6,70,High(20+%),-3.63,8.81,-0.7
30,CA-2017-122490,08-01-2014,9-14-2014,Standard Class,AS-10630,Ann Steele,Home Office,United States,Philadelphia,Pennsylvania,19120,East,OFF-FA-10000992,Office Supplies,Fasteners,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",5.68,2,20,Medium(11-20),1.92,3.76,0.3375
31,CA-2016-142370,08-01-2014,9-14-2014,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,17.54,3,20,Medium(11-20),5.92,11.62,0.3375
32,CA-2016-105900,08-01-2014,9-15-2014,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,44.13,4,20,Medium(11-20),12.14,31.99,0.275
33,CA-2016-151155,08-01-2014,9-15-2014,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,62.92,1,20,Medium(11-20),10.22,52.7,0.1625
34,CA-2017-144036,08-01-2014,9-15-2014,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.3,2,20,Medium(11-20),29.36,48.94,0.375
35,CA-2016-158575,08-01-2014,9-13-2014,First Class,IL-15100,Ivan Liston,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,19.75,3,20,Medium(11-20),6.91,12.84,0.35
36,CA-2017-151981,09-01-2014,9-14-2014,First Class,JL-15130,Jack Lebron,Consumer,United States,Houston,Texas,77036,Central,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,3.65,3,80,High(20+%),-6.02,9.67,-1.65
37,CA-2017-125472,09-01-2014,9-14-2014,First Class,JL-15130,Jack Lebron,Consumer,United States,Houston,Texas,77036,Central,OFF-PA-10004100,Office Supplies,Paper,Xerox 216,31.1,6,20,Medium(11-20),10.89,20.22,0.35
38,CA-2014-102295,09-01-2014,9-14-2014,Second Class,LT-16765,Larry Tron,Consumer,United States,Escondido,California,92025,West,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3,0,Low(0-10%),15.64,38.3,0.29
39,,09-01-2014,9-14-2014,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004716,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders,23.74,2,20,Medium(11-20),8.31,15.43,0.35
40,,09-01-2014,9-13-2014,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,New York City,New York,10009,East,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,357,3,0,Low(0-10%),57.12,299.88,0.16
41,,10-01-2014,9-13-2014,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Reno,Nevada,89502,West,OFF-FA-10000254,Office Supplies,Fasteners,Sterling Rubber Bands by Alliance,4.71,1,0,Low(0-10%),0,4.71,0
42,,11-01-2014,9-13-2014,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Long Beach,New York,11561,East,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,533.94,3,0,Low(0-10%),154.84,379.1,0.29
43,,11-01-2014,9-13-2014,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Long Beach,New York,11561,East,OFF-PA-10000806,Office Supplies,Paper,Xerox 1934,167.94,3,0,Low(0-10%),82.29,85.65,0.49
44,,11-01-2014,9-13-2014,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Long Beach,New York,11561,East,FUR-FU-10003142,Furniture,Furnishings,"Master Big Foot Doorstop, Beige",31.68,6,0,Low(0-10%),9.82,21.86,0.31
45,,11-01-2014,10-13-2014,Standard Class,DG-13300,Deirdre Greer,Corporate,United States,Orange,New Jersey,7050,East,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2,0,Low(0-10%),22.07,54.05,0.29
46,,11-01-2014,11-14-2014,First Class,EA-14035,Erin Ashbrook,Corporate,United States,Mason,Ohio,45040,East,FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",68.7,2,20,Medium(11-20),16.32,52.39,0.2375
47,,11-01-2014,12-15-2014,First Class,EA-14035,Erin Ashbrook,Corporate,United States,Mason,Ohio,45040,East,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder,3.13,2,70,High(20+%),-2.61,5.74,-0.833333333
48,,11-01-2014,12-15-2014,First Class,EA-14035,Erin Ashbrook,Corporate,United States,Mason,Ohio,45040,East,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,22.43,3,70,High(20+%),-17.94,40.37,-0.8
49,CA-2014-115133,11-01-2014,12-13-2014,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Richmond,Kentucky,40475,South,OFF-ST-10000464,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",69.52,2,0,Low(0-10%),19.47,50.05,0.28
50,CA-2017-137449,11-01-2014,12-13-2014,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Richmond,Kentucky,40475,South,OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",5.64,3,0,Low(0-10%),1.64,4,0.29
51,CA-2015-114811,11-01-2014,12-13-2014,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,North Carolina,28205,South,OFF-FA-10003021,Office Supplies,Fasteners,Staples,7.52,5,20,Medium(11-20),1.41,6.11,0.1875
52,CA-2015-122266,11-01-2014,12-13-2014,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000634,Office Supplies,Art,Newell 320,10.27,3,20,Medium(11-20),0.9,9.37,0.0875
53,CA-2015-141565,11-01-2014,12-13-2014,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,North Carolina,28205,South,OFF-LA-10001771,Office Supplies,Labels,Avery 513,47.81,12,20,Medium(11-20),15.54,32.27,0.325
54,CA-2017-128769,11-01-2014,12-13-2014,Standard Class,KH-16630,Ken Heidel,Corporate,United States,Charlotte,North Carolina,28205,South,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,978.84,9,20,Medium(11-20),110.12,868.72,0.1125
55,CA-2014-126802,11-01-2014,12-13-2014,Standard Class,ND-18370,Natalie DeCherney,Consumer,United States,Portland,Oregon,97206,West,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",443.92,5,20,Medium(11-20),-94.33,538.25,-0.2125
56,CA-2016-143924,11-01-2014,12-13-2014,Standard Class,ND-18370,Natalie DeCherney,Consumer,United States,Portland,Oregon,97206,West,TEC-PH-10000673,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,155.98,3,20,Medium(11-20),54.59,101.38,0.35
57,,11-01-2014,12-13-2014,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049,West,OFF-LA-10003498,Office Supplies,Labels,Avery 475,44.4,3,0,Low(0-10%),22.2,22.2,0.5
58,,11-01-2014,1-13-2014,Standard Class,PL-18925,Paul Lucas,Home Office,United States,Los Angeles,California,90049,West,OFF-PA-10004947,Office Supplies,Paper,Easy-staple paper,21.4,5,0,Low(0-10%),9.63,11.77,0.45
59,CA-2016-128531,11-01-2014,1-13-2014,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Denver,Colorado,80219,West,OFF-AR-10001897,Office Supplies,Art,Model L Table or Wall-Mount Pencil Sharpener,43.18,3,20,Medium(11-20),4.32,38.86,0.1
60,US-2015-157154,11-01-2014,5-15-2014,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Denver,Colorado,80219,West,TEC-PH-10001795,Technology,Phones,ClearOne CHATAttach 160 - speaker phone,1983.97,4,20,Medium(11-20),248,1735.97,0.125
61,CA-2014-139423,11-01-2014,5-15-2014,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Chicago,Illinois,60610,Central,OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,15.7,3,20,Medium(11-20),5.1,10.59,0.325
62,,12-01-2014,6-14-2014,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East,TEC-PH-10004434,Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,271.9,2,0,Low(0-10%),78.85,193.05,0.29
63,,12-01-2014,6-14-2014,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East,FUR-FU-10003878,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",45.84,3,0,Low(0-10%),15.59,30.25,0.34
64,,12-01-2014,6-14-2014,First Class,AA-10645,Anna Andreadi,Consumer,United States,Lowell,Massachusetts,1852,East,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,9.82,2,0,Low(0-10%),3.24,6.58,0.33
65,CA-2014-103807,12-01-2014,6-14-2014,Second Class,JK-15730,Joe Kamberova,Consumer,United States,Columbus,Ohio,43229,East,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,659.99,2,40,High(20+%),110,549.99,0.166666667
66,CA-2015-102855,12-01-2014,6-14-2014,Second Class,JK-15730,Joe Kamberova,Consumer,United States,Columbus,Ohio,43229,East,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",8.13,2,20,Medium(11-20),1.42,6.71,0.175
67,CA-2017-107825,12-01-2014,6-14-2014,Second Class,JK-15730,Joe Kamberova,Consumer,United States,Columbus,Ohio,43229,East,OFF-PA-10001972,Office Supplies,Paper,Xerox 214,36.29,7,20,Medium(11-20),12.7,23.59,0.35
68,CA-2017-106047,12-01-2014,6-14-2014,Second Class,JK-15730,Joe Kamberova,Consumer,United States,Columbus,Ohio,43229,East,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,909.72,6,30,High(20+%),-51.98,961.7,-0.057142857
69,CA-2017-159135,12-01-2014,6-13-2014,Second Class,MC-17605,Matt Connell,Corporate,United States,Houston,Texas,77070,Central,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,674.06,3,30,High(20+%),-19.26,693.32,-0.028571429
70,CA-2014-140228,12-01-2014,6-13-2014,First Class,RP-19390,Resi Pölking,Consumer,United States,Madison,Wisconsin,53711,Central,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2807.84,8,0,Low(0-10%),673.88,2133.96,0.24
71,US-2016-131674,12-01-2014,6-13-2014,First Class,RP-19390,Resi Pölking,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-AR-10000475,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",46.64,4,0,Low(0-10%),12.59,34.05,0.27
72,CA-2017-151211,12-01-2014,6-16-2014,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,Jacksonville,North Carolina,28540,South,TEC-PH-10001644,Technology,Phones,"BlueLounge Milo Smartphone Stand, White/Metallic",95.97,4,20,Medium(11-20),9.6,86.37,0.1
73,CA-2017-166709,12-01-2014,6-16-2014,Standard Class,TR-21325,Toby Ritter,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",58.2,3,0,Low(0-10%),28.52,29.68,0.49
74,CA-2014-158337,02-02-2014,6-13-2014,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,San Diego,California,92037,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12.35,5,0,Low(0-10%),5.8,6.55,0.47
75,,02-02-2014,6-13-2014,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18.34,2,70,High(20+%),-12.22,30.56,-0.666666667
76,,02-02-2014,6-13-2014,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,20,Medium(11-20),13.57,167.39,0.075
77,,03-02-2014,7-15-2014,Standard Class,KN-16705,Kristina Nunn,Home Office,United States,New York City,New York,10009,East,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2,0,Low(0-10%),5.34,6.02,0.47
78,,03-02-2014,7-15-2014,Standard Class,KN-16705,Kristina Nunn,Home Office,United States,New York City,New York,10009,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",36.4,5,0,Low(0-10%),17.47,18.93,0.48
79,,03-02-2014,7-14-2014,Standard Class,NH-18610,Nicole Hansen,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-PA-10000327,Office Supplies,Paper,Xerox 1971,3.42,1,20,Medium(11-20),1.07,2.35,0.3125
80,,03-02-2014,7-14-2014,Standard Class,NH-18610,Nicole Hansen,Corporate,United States,Philadelphia,Pennsylvania,19120,East,TEC-AC-10004353,Technology,Accessories,Hypercom P1300 Pinpad,151.2,3,20,Medium(11-20),32.13,119.07,0.2125
81,,04-02-2014,7-14-2014,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Virginia Beach,Virginia,23464,South,FUR-FU-10003192,Furniture,Furnishings,Luxo Adjustable Task Clamp Lamp,177.68,2,0,Low(0-10%),46.2,131.48,0.26
82,,04-02-2014,7-14-2014,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Athens,Georgia,30605,South,OFF-PA-10004248,Office Supplies,Paper,Xerox 1990,15.84,3,0,Low(0-10%),7.13,8.71,0.45
83,,04-02-2014,7-13-2014,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Athens,Georgia,30605,South,TEC-PH-10001128,Technology,Phones,Motorola Droid Maxx,1049.93,7,0,Low(0-10%),293.98,755.95,0.28
84,,04-02-2014,7-13-2014,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Athens,Georgia,30605,South,OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,154.9,5,0,Low(0-10%),40.27,114.63,0.26
85,,04-02-2014,7-13-2014,Second Class,SC-20020,Sam Craven,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10002986,Office Supplies,Paper,Xerox 1898,26.72,5,20,Medium(11-20),9.35,17.37,0.35
86,,04-02-2014,8-16-2014,Second Class,SC-20020,Sam Craven,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10001593,Office Supplies,Paper,Xerox 1947,33.49,7,20,Medium(11-20),10.47,23.02,0.3125
87,,05-02-2014,8-16-2014,Same Day,AR-10510,Andrew Roberts,Consumer,United States,Columbus,Ohio,43229,East,OFF-AP-10003971,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,26.14,3,20,Medium(11-20),1.96,24.18,0.075
88,,05-02-2014,8-16-2014,Second Class,CS-11860,Cari Schnelling,Consumer,United States,Lakeland,Florida,33801,South,TEC-CO-10004202,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,479.98,2,20,Medium(11-20),90,389.99,0.1875
89,CA-2017-130386,06-02-2014,8-14-2014,Standard Class,CK-12325,Christine Kargatis,Home Office,United States,Orem,Utah,84057,West,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,59.81,3,20,Medium(11-20),19.44,40.37,0.325
90,CA-2016-100468,06-02-2014,8-13-2014,Standard Class,CK-12325,Christine Kargatis,Home Office,United States,Orem,Utah,84057,West,FUR-FU-10000246,Furniture,Furnishings,Aluminum Document Frame,73.32,6,0,Low(0-10%),22,51.32,0.3
91,CA-2015-137302,06-02-2014,8-13-2014,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Roswell,Georgia,30076,South,OFF-AR-10004511,Office Supplies,Art,"Sanford Colorific Scented Colored Pencils, 12/Pack",8.56,2,0,Low(0-10%),2.65,5.91,0.31
92,CA-2016-112382,06-02-2014,8-13-2014,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Roswell,Georgia,30076,South,TEC-PH-10001425,Technology,Phones,Mophie Juice Pack Helium for iPhone,239.97,3,0,Low(0-10%),67.19,172.78,0.28
93,CA-2015-128958,06-02-2014,8-13-2014,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Roswell,Georgia,30076,South,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",356.94,2,0,Low(0-10%),107.08,249.86,0.3
94,CA-2014-101770,07-02-2014,8-13-2014,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Plainfield,New Jersey,7060,East,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",73.98,2,0,Low(0-10%),19.97,54.01,0.27
95,CA-2017-105487,07-02-2014,9-14-2014,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Plainfield,New Jersey,7060,East,OFF-AR-10000716,Office Supplies,Art,DIXON Ticonderoga Erasable Checking Pencils,5.58,1,0,Low(0-10%),2.18,3.4,0.39
96,,08-02-2014,9-13-2014,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Springfield,Missouri,65807,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,26.7,5,0,Low(0-10%),12.55,14.15,0.47
97,,08-02-2014,9-14-2014,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Springfield,Missouri,65807,Central,TEC-AC-10003237,Technology,Accessories,Memorex Micro Travel Drive 4 GB,21.2,2,0,Low(0-10%),9.12,12.08,0.43
98,,08-02-2014,9-14-2014,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Springfield,Missouri,65807,Central,OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,838.38,2,0,Low(0-10%),226.36,612.02,0.27
99,,09-02-2014,9-14-2014,Standard Class,AG-10525,Andy Gerbode,Corporate,United States,Houston,Texas,77095,Central,TEC-MA-10002210,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,559.71,3,40,High(20+%),-121.27,680.98,-0.216666667
100,,09-02-2014,9-14-2014,Standard Class,BM-11785,Bryan Mills,Consumer,United States,Buffalo Grove,Illinois,60089,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,475.94,7,20,Medium(11-20),95.19,380.76,0.2
101,,09-02-2014,9-15-2014,Second Class,CV-12295,Christina VanderZanden,Consumer,United States,Chicago,Illinois,60653,Central,TEC-AC-10001606,Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,239.98,3,20,Medium(11-20),53.99,185.98,0.225
102,CA-2014-109680,09-02-2014,10-15-2014,First Class,CL-12565,Clay Ludtke,Consumer,United States,New York City,New York,10009,East,OFF-AR-10002445,Office Supplies,Art,SANFORD Major Accent Highlighters,21.24,3,0,Low(0-10%),8.07,13.17,0.38
